question,file_a,file_b,score,jaccard,control,idents,loops,calls
1,q1_mfpc.c,q1_wmsn.c,0.668737,0.434343,1.000000,0.300000,1.000000,1.000000
1,q1_mgfm.c,q1_mtd.c,0.667753,0.330097,1.000000,0.571429,1.000000,1.000000
1,q1_fcs.c,q1_jppp.c,0.664715,0.418367,1.000000,0.315789,1.000000,1.000000
1,q1_afo.c,q1_barlf.c,0.663810,0.409524,1.000000,0.333333,1.000000,1.000000
1,q1_fcs.c,q1_lrvo.c,0.662669,0.297297,1.000000,0.625000,1.000000,1.000000
1,q1_mfpc.c,q1_smbsa.c,0.662347,0.418367,1.000000,0.300000,1.000000,1.000000
1,q1_lbas2.c,q1_mmrm.c,0.662317,0.412371,1.000000,0.315789,1.000000,1.000000
1,q1_afo.c,q1_dfm.c,0.661905,0.321429,1.000000,0.555556,1.000000,1.000000
1,q1_afo.c,q1_bssah.c,0.661579,0.410526,1.000000,0.315789,1.000000,1.000000
1,q1_afo.c,q1_mahf.c,0.661579,0.410526,1.000000,0.315789,1.000000,1.000000
1,q1_afo.c,q1_mmrm.c,0.658936,0.323810,1.000000,0.529412,1.000000,1.000000
1,q1_bgnp.c,q1_dfm.c,0.658673,0.371681,1.000000,0.400000,1.000000,1.000000
1,q1_lrvo.c,q1_smbsa.c,0.658246,0.245614,1.000000,0.733333,1.000000,1.000000
1,q1_amfgs.c,q1_barlf.c,0.657798,0.394495,1.000000,0.333333,1.000000,1.000000
1,q1_barlf.c,q1_dlc.c,0.657798,0.394495,1.000000,0.333333,1.000000,1.000000
1,q1_barlf.c,q1_fem.c,0.657798,0.394495,1.000000,0.333333,1.000000,1.000000
1,q1_barlf.c,q1_jcvg.c,0.657798,0.394495,1.000000,0.333333,1.000000,1.000000
1,q1_bgnp.c,q1_fcs.c,0.656116,0.348624,1.000000,0.444444,1.000000,1.000000
1,q1_lgof.c,q1_smbsa.c,0.655784,0.401961,1.000000,0.300000,1.000000,1.000000
1,q1_bgnp.c,q1_bssah.c,0.655784,0.396040,1.000000,0.315789,1.000000,1.000000
1,q1_bssah.c,q1_fem.c,0.654944,0.393939,1.000000,0.315789,1.000000,1.000000
1,q1_afo.c,q1_lrvo.c,0.654283,0.372549,1.000000,0.368421,1.000000,1.000000
1,q1_afo.c,q1_bgnp.c,0.654182,0.311927,1.000000,0.529412,1.000000,1.000000
1,q1_amfgs.c,q1_lrvo.c,0.653835,0.371429,1.000000,0.368421,1.000000,1.000000
1,q1_dlc.c,q1_lrvo.c,0.653835,0.371429,1.000000,0.368421,1.000000,1.000000
1,q1_jcvg.c,q1_lrvo.c,0.653835,0.371429,1.000000,0.368421,1.000000,1.000000
1,q1_dfm.c,q1_dlc.c,0.652991,0.299145,1.000000,0.555556,1.000000,1.000000
1,q1_chccp.c,q1_smbsa.c,0.651863,0.392157,1.000000,0.300000,1.000000,1.000000
1,q1_barlf.c,q1_gtc.c,0.648707,0.394495,1.000000,0.272727,1.000000,1.000000
1,q1_lrvo.c,q1_mfpc.c,0.647941,0.382353,1.000000,0.300000,1.000000,1.000000
1,q1_lbas2.c,q1_vgjda2.c,0.647863,0.376238,1.000000,0.315789,1.000000,1.000000
1,q1_lbas2.c,q1_lrvo.c,0.647297,0.243243,1.000000,0.666667,1.000000,1.000000
1,q1_fem.c,q1_meso.c,0.646856,0.353982,1.000000,0.368421,1.000000,1.000000
1,q1_dfm.c,q1_smbsa.c,0.646465,0.388889,1.000000,0.272727,1.000000,1.000000
1,q1_barlf.c,q1_vgjda2.c,0.646429,0.366071,1.000000,0.333333,1.000000,1.000000
1,q1_amfgs.c,q1_lbas2.c,0.643903,0.366337,1.000000,0.315789,1.000000,1.000000
1,q1_bssah.c,q1_fcs.c,0.643903,0.366337,1.000000,0.315789,1.000000,1.000000
1,q1_dlc.c,q1_lbas2.c,0.643903,0.366337,1.000000,0.315789,1.000000,1.000000
1,q1_gtc.c,q1_lbas2.c,0.643903,0.366337,1.000000,0.315789,1.000000,1.000000
1,q1_jcvg.c,q1_lbas2.c,0.643903,0.366337,1.000000,0.315789,1.000000,1.000000
1,q1_dfm.c,q1_fcs.c,0.643636,0.381818,1.000000,0.272727,1.000000,1.000000
1,q1_gtc.c,q1_lrvo.c,0.643571,0.371429,1.000000,0.300000,1.000000,1.000000
1,q1_afo.c,q1_argmq.c,0.642927,0.239669,1.000000,0.647059,1.000000,1.000000
1,q1_afo.c,q1_meso.c,0.642200,0.342342,1.000000,0.368421,1.000000,1.000000
1,q1_jppp.c,q1_wmsn.c,0.641058,0.359223,1.000000,0.315789,1.000000,1.000000
1,q1_amfgs.c,q1_jppp.c,0.640214,0.299065,1.000000,0.470588,1.000000,1.000000
1,q1_dlc.c,q1_jppp.c,0.640214,0.299065,1.000000,0.470588,1.000000,1.000000
1,q1_gtc.c,q1_jppp.c,0.640214,0.299065,1.000000,0.470588,1.000000,1.000000
1,q1_argmq.c,q1_dlc.c,0.639859,0.232000,1.000000,0.647059,1.000000,1.000000
1,q1_bgnp.c,q1_lrvo.c,0.638049,0.195122,1.000000,0.733333,1.000000,1.000000
1,q1_barlf.c,q1_mfpc.c,0.637698,0.366972,1.000000,0.272727,1.000000,1.000000
1,q1_bssah.c,q1_mfpc.c,0.637368,0.350000,1.000000,0.315789,1.000000,1.000000
1,q1_mahf.c,q1_mfpc.c,0.637368,0.350000,1.000000,0.315789,1.000000,1.000000
1,q1_lgof.c,q1_lrvo.c,0.637056,0.355140,1.000000,0.300000,1.000000,1.000000
1,q1_fal.c,q1_maolf.c,0.636667,0.300000,1.000000,0.444444,1.000000,1.000000
1,q1_bgnp.c,q1_dlc.c,0.636308,0.267241,1.000000,0.529412,1.000000,1.000000
1,q1_bgnp.c,q1_fem.c,0.636308,0.267241,1.000000,0.529412,1.000000,1.000000
1,q1_argmq.c,q1_bssah.c,0.635976,0.357798,1.000000,0.285714,1.000000,1.000000
1,q1_argmq.c,q1_mahf.c,0.635976,0.357798,1.000000,0.285714,1.000000,1.000000
1,q1_argmq.c,q1_mmrm.c,0.635338,0.285714,1.000000,0.473684,1.000000,1.000000
1,q1_fem.c,q1_mmrm.c,0.634893,0.324074,1.000000,0.368421,1.000000,1.000000
1,q1_barlf.c,q1_bssah.c,0.633598,0.351852,1.000000,0.285714,1.000000,1.000000
1,q1_barlf.c,q1_mahf.c,0.633598,0.351852,1.000000,0.285714,1.000000,1.000000
1,q1_dfm.c,q1_lbas2.c,0.633598,0.351852,1.000000,0.285714,1.000000,1.000000
1,q1_jppp.c,q1_mmrm.c,0.633291,0.339806,1.000000,0.315789,1.000000,1.000000
1,q1_lrvo.c,q1_vgjda2.c,0.632536,0.318182,1.000000,0.368421,1.000000,1.000000
1,q1_bssah.c,q1_lgof.c,0.631984,0.336538,1.000000,0.315789,1.000000,1.000000
1,q1_lgof.c,q1_mahf.c,0.631984,0.336538,1.000000,0.315789,1.000000,1.000000
1,q1_fem.c,q1_maolf.c,0.631812,0.256000,1.000000,0.529412,1.000000,1.000000
1,q1_argmq.c,q1_bgnp.c,0.631622,0.276423,1.000000,0.473684,1.000000,1.000000
1,q1_maolf.c,q1_vgjda2.c,0.630999,0.253968,1.000000,0.529412,1.000000,1.000000
1,q1_lrvo.c,q1_mmrm.c,0.630034,0.311927,1.000000,0.368421,1.000000,1.000000
1,q1_dfm.c,q1_fem.c,0.629658,0.299145,1.000000,0.400000,1.000000,1.000000
1,q1_afo.c,q1_fal.c,0.629615,0.336538,1.000000,0.300000,1.000000,1.000000
1,q1_fcs.c,q1_mmrm.c,0.629579,0.336449,1.000000,0.300000,1.000000,1.000000
1,q1_jppp.c,q1_smbsa.c,0.629407,0.330097,1.000000,0.315789,1.000000,1.000000
1,q1_fem.c,q1_rvm2.c,0.628333,0.333333,1.000000,0.300000,1.000000,1.000000
1,q1_barlf.c,q1_lgof.c,0.627751,0.342105,1.000000,0.272727,1.000000,1.000000
1,q1_chccp.c,q1_fal.c,0.627381,0.276786,1.000000,0.444444,1.000000,1.000000
1,q1_fal.c,q1_fem.c,0.627381,0.276786,1.000000,0.444444,1.000000,1.000000
1,q1_barlf.c,q1_smbsa.c,0.626316,0.315789,1.000000,0.333333,1.000000,1.000000
1,q1_bgnp.c,q1_wmsn.c,0.624561,0.298246,1.000000,0.368421,1.000000,1.000000
1,q1_barlf.c,q1_chccp.c,0.624242,0.333333,1.000000,0.272727,1.000000,1.000000
1,q1_dfm.c,q1_wmsn.c,0.623083,0.330435,1.000000,0.272727,1.000000,1.000000
1,q1_chccp.c,q1_lbas2.c,0.623083,0.314286,1.000000,0.315789,1.000000,1.000000
1,q1_maolf.c,q1_rvm2.c,0.623000,0.320000,1.000000,0.300000,1.000000,1.000000
1,q1_afo.c,q1_lbas2.c,0.622859,0.313725,1.000000,0.315789,1.000000,1.000000
1,q1_bssah.c,q1_wmsn.c,0.621897,0.311321,1.000000,0.315789,1.000000,1.000000
1,q1_mahf.c,q1_wmsn.c,0.621897,0.311321,1.000000,0.315789,1.000000,1.000000
1,q1_meso.c,q1_smbsa.c,0.621502,0.290598,1.000000,0.368421,1.000000,1.000000
1,q1_chccp.c,q1_jppp.c,0.621489,0.252252,1.000000,0.470588,1.000000,1.000000
1,q1_jppp.c,q1_vgjda2.c,0.620733,0.308411,1.000000,0.315789,1.000000,1.000000
1,q1_bssah.c,q1_smbsa.c,0.620445,0.307692,1.000000,0.315789,1.000000,1.000000
1,q1_dlc.c,q1_maolf.c,0.620037,0.226562,1.000000,0.529412,1.000000,1.000000
1,q1_jcvg.c,q1_maolf.c,0.620037,0.226562,1.000000,0.529412,1.000000,1.000000
1,q1_mmrm.c,q1_wmsn.c,0.619549,0.285714,1.000000,0.368421,1.000000,1.000000
1,q1_chccp.c,q1_rvm2.c,0.619146,0.256198,1.000000,0.444444,1.000000,1.000000
1,q1_amfgs.c,q1_rvm2.c,0.619138,0.310345,1.000000,0.300000,1.000000,1.000000
1,q1_dlc.c,q1_rvm2.c,0.619138,0.310345,1.000000,0.300000,1.000000,1.000000
1,q1_fcs.c,q1_rvm2.c,0.619138,0.310345,1.000000,0.300000,1.000000,1.000000
1,q1_gtc.c,q1_rvm2.c,0.619138,0.310345,1.000000,0.300000,1.000000,1.000000
1,q1_jcvg.c,q1_rvm2.c,0.619138,0.310345,1.000000,0.300000,1.000000,1.000000
1,q1_afo.c,q1_rvm2.c,0.618894,0.309735,1.000000,0.300000,1.000000,1.000000
1,q1_fal.c,q1_vgjda2.c,0.618636,0.309091,1.000000,0.300000,1.000000,1.000000
1,q1_fal.c,q1_fcs.c,0.618421,0.254386,1.000000,0.444444,1.000000,1.000000
1,q1_rvm2.c,q1_vgjda2.c,0.618306,0.254098,1.000000,0.444444,1.000000,1.000000
1,q1_bssah.c,q1_lrvo.c,0.618123,0.301887,1.000000,0.315789,1.000000,1.000000
1,q1_lgof.c,q1_meso.c,0.617034,0.305085,1.000000,0.300000,1.000000,1.000000
1,q1_jcvg.c,q1_jppp.c,0.616995,0.299065,1.000000,0.315789,1.000000,1.000000
1,q1_meso.c,q1_mfpc.c,0.616739,0.304348,1.000000,0.300000,1.000000,1.000000
1,q1_barlf.c,q1_mmrm.c,0.616239,0.290598,1.000000,0.333333,1.000000,1.000000
1,q1_fal.c,q1_smbsa.c,0.615782,0.247788,1.000000,0.444444,1.000000,1.000000
1,q1_bgnp.c,q1_vgjda2.c,0.615608,0.275862,1.000000,0.368421,1.000000,1.000000
1,q1_afo.c,q1_maolf.c,0.615126,0.214286,1.000000,0.529412,1.000000,1.000000
1,q1_fcs.c,q1_maolf.c,0.615079,0.246032,1.000000,0.444444,1.000000,1.000000
1,q1_barlf.c,q1_fcs.c,0.615047,0.310345,1.000000,0.272727,1.000000,1.000000
1,q1_lrvo.c,q1_rvm2.c,0.614658,0.299145,1.000000,0.300000,1.000000,1.000000
1,q1_argmq.c,q1_fem.c,0.613853,0.232000,1.000000,0.473684,1.000000,1.000000
1,q1_mfpc.c,q1_mmrm.c,0.613519,0.296296,1.000000,0.300000,1.000000,1.000000
1,q1_dgsx.c,q1_mtd.c,0.613095,0.166667,1.000000,0.642857,1.000000,1.000000
1,q1_amfgs.c,q1_bgnp.c,0.612160,0.267241,1.000000,0.368421,1.000000,1.000000
1,q1_bgnp.c,q1_jcvg.c,0.612160,0.267241,1.000000,0.368421,1.000000,1.000000
1,q1_lbas2.c,q1_mfpc.c,0.611654,0.285714,1.000000,0.315789,1.000000,1.000000
1,q1_amfgs.c,q1_dfm.c,0.610567,0.299145,1.000000,0.272727,1.000000,1.000000
1,q1_dfm.c,q1_gtc.c,0.610567,0.299145,1.000000,0.272727,1.000000,1.000000
1,q1_dfm.c,q1_jcvg.c,0.610567,0.299145,1.000000,0.272727,1.000000,1.000000
